       2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                     ﾏｯﾁﾝｸﾞ        受付
                        病院名
府県                                      参加           番号
都道                                    ﾏｯﾁﾝｸﾞ        受付
                        病院名
府県                                     参加           番号
福島   大原綜合病院                             ○           791
福島   太田西ノ内病院                            ○           744
福島   星総合病院                              ○           976
福島   竹田綜合病院                             ○           571
福島   いわき市医療センター                         ○           486
福島   脳神経疾患研究所附属 総合南東北病院                 ○           367
福島   公立岩瀬病院                             ○           967
福島   福島労災病院                             ○           616
福島   医療生協わたり病院                          ○           941
福島   寿泉堂綜合病院                            ○           865
福島   白河厚生総合病院                           ○           633
福島   公立藤田総合病院                           ○           705
福島   会津中央病院                             ○            44
福島   済生会福島総合病院                          ○           414
福島   福島赤十字病院                            ○           952
福島   公立相馬総合病院                           ○           234
福島   南相馬市立総合病院                          ○            94
福島   常磐病院                               ○           959
茨城   国立病院機構 水戸医療センター                    ○           802
茨城   茨城県立中央病院                           ○           924
茨城   水戸済生会総合病院                          ○           888
茨城   日立総合病院                             ○           1004
茨城   国立病院機構 霞ヶ浦医療センター                   ○           342
茨城   総合病院土浦協同病院                         ○           290
茨城   筑波メディカルセンター病院                      ○            34
茨城   筑波記念病院                             ○           422
茨城   JAとりで総合医療センター                      ○           330
茨城   牛久愛和総合病院                           ○           823
茨城   筑波学園病院                             ○            27
茨城   ひたちなか総合病院                          ○           434
茨城   茨城西南医療センター病院                       ○           406
茨城   水戸協同病院                             ○           854
茨城   水戸赤十字病院                            ○           105
茨城   つくばセントラル病院                         ○           751
茨城   総合守谷第一病院                           ○           558
茨城   龍ケ崎済生会病院                           ○            45
茨城   友愛記念病院                             ○           372
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                        病院名
府県                                     参加           番号
栃木   上都賀総合病院                            ○           898
栃木   済生会宇都宮病院                           ○           864
栃木   とちぎメディカルセンターしもつが                   ○           963
栃木   足利赤十字病院                            ○           401
栃木   佐野厚生総合病院                           ○            55
栃木   那須赤十字病院                            ○           159
栃木   芳賀赤十字病院                            ○           621
栃木   新小山市民病院                            ○           265
群馬   前橋赤十字病院                            ○           131
群馬   国立病院機構 高崎総合医療センター                  ○           692
群馬   桐生厚生総合病院                           ○           719
群馬   伊勢崎市民病院                            ○           362
群馬   利根中央病院                             ○           341
群馬   公立富岡総合病院                           ○           203
群馬   公立館林厚生病院                           ○           120
群馬   ＳＵＢＡＲＵ健康保険組合太田記念病院                 ○           625
群馬   群馬県済生会前橋病院                         ○           157
群馬   地域医療機能推進機構 群馬中央病院                  ○           841
群馬   日高病院                               ○           745
群馬   国立病院機構 渋川医療センター                    ○           126
群馬   公立藤岡総合病院                           ○           526
埼玉   越谷市立病院                             ○           515
埼玉   みさと健和病院                            ○           317
埼玉   さいたま市立病院                           ○           983
埼玉   川口市立医療センター                         ○           307
埼玉   さいたま赤十字病院                          ○           724
埼玉   埼玉協同病院                             ○            2
埼玉   地域医療機能推進機構 埼玉メディカルセンター             ○           122
埼玉   戸田中央総合病院                           ○           172
埼玉   上尾中央総合病院                           ○            95
埼玉   埼玉県済生会川口総合病院                       ○           429
埼玉   国立病院機構 埼玉病院                        ○           1020
埼玉   国立病院機構西埼玉中央病院                      ○           955
埼玉   埼玉石心会病院                            ○            6
埼玉   春日部中央総合病院                          ○           428
埼玉   小川赤十字病院                            ○           923
埼玉   関越病院                               ○           306
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                       病院名
府県                                     参加           番号
埼玉   新座志木中央総合病院                         ○           572
埼玉   深谷赤十字病院                            ○           64
埼玉   TMGあさか医療センター                       ○           809
埼玉   医療法人徳洲会 羽生総合病院                     ○           904
埼玉   彩の国東大宮メディカルセンター                    ○           664
埼玉   三郷中央総合病院                           ○           735
埼玉   草加市立病院                             ○           776
埼玉   春日部市立医療センター                        ○           652
埼玉   秀和総合病院                             ○           575
埼玉   熊谷総合病院                             ○           632
埼玉   埼玉県済生会加須病院                         ○           662
埼玉   行田総合病院                             ○           877
埼玉   さいたま市民医療センター                       ○           948
埼玉   新久喜総合病院                            ○           243
千葉   国立病院機構 千葉医療センター                    ○           890
千葉   船橋二和病院                             ○           462
千葉   国立国府台医療センター                        ○           283
千葉   船橋市立医療センター                         ○           70
千葉   東京歯科大学市川総合病院                       ○           180
千葉   千葉徳洲会病院                            ○           502
千葉   松戸市立総合医療センター                       ○           818
千葉   医療法人徳洲会 千葉西総合病院                    ○           538
千葉   東葛病院                               ○           570
千葉   成田赤十字病院                            ○           480
千葉   総合病院 国保旭中央病院                       ○           867
千葉   千葉労災病院                             ○           321
千葉   亀田総合病院                             ○           768
千葉   君津中央病院                             ○           846
千葉   千葉メディカルセンター                        ○           661
千葉   医療法人徳洲会 野田総合病院                     ○           753
千葉   千葉県がんセンター                          ○           917
千葉   津田沼中央総合病院                          ○           380
千葉   新松戸中央総合病院                          ○           804
千葉   名戸ケ谷病院                             ○           564
千葉   柏厚生総合病院                            ○           951
千葉   千葉市立海浜病院                           ○           145
千葉   千葉市立青葉病院                           ○           227
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                       病院名
府県                                     参加           番号
千葉   行徳総合病院                             ○           925
千葉   地域医療機能推進機構 船橋中央病院                  ○           944
千葉   千葉県済生会習志野病院                        ○           568
千葉   新東京病院                              ○           423
千葉   聖隷佐倉市民病院                           ○           710
千葉   千葉中央メディカルセンター                      ○           57
千葉   東京ベイ・浦安市川医療センター                    ○           509
千葉   セコメディック病院                          ○           892
千葉   東千葉メディカルセンター                       ○           953
東京   東京逓信病院                             ○           71
東京   東京都立駒込病院                           ○           62
東京   東京都済生会中央病院                         ○           522
東京   虎の門病院                              ○           909
東京   東京警察病院                             ○           107
東京   三楽病院                               ○           582
東京   聖路加国際病院                            ○           325
東京   三井記念病院                             ○           263
東京   東京労災病院                             ○           615
東京   東京都立荏原病院                           ○           857
東京   NTT東日本関東病院                         ○           485
東京   大森赤十字病院                            ○           914
東京   国立病院機構 東京医療センター                    ○           989
東京   東京都立広尾病院                           ○           803
東京   JR東京総合病院                           ○           828
東京   日本赤十字社医療センター                       ○           679
東京   東京都立松沢病院                           ○           950
東京   地域医療機能推進機構 東京新宿メディカルセンター           ○           449
東京   公立学校共済組合 関東中央病院                    ○           838
東京   総合病院厚生中央病院                         ○           819
東京   国立国際医療研究センター病院                     ○           825
東京   東京都立大久保病院                          ○           514
東京   地域医療機能推進機構 東京山手メディカルセンター           ○           835
東京   新渡戸記念中野総合病院                        ○           261
東京   河北総合病院                             ○           430
東京   東京都健康長寿医療センター                      ○           832
東京   東京都立大塚病院                           ○           166
東京   東京都立豊島病院                           ○           813
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                       病院名
府県                                     参加           番号
東京   板橋中央総合病院                           ○           992
東京   博慈会記念総合病院                          ○           784
東京   東京都立墨東病院                           ○           164
東京   同愛記念病院                             ○           965
東京   市立青梅総合医療センター                       ○           848
東京   東京都立多摩南部地域病院                       ○           349
東京   立川相互病院                             ○           720
東京   立川病院                               ○           136
東京   国立病院機構 災害医療センター                    ○           490
東京   武蔵野赤十字病院                           ○           954
東京   東京都立多摩総合医療センター                     ○           470
東京   公立昭和病院                             ○           137
東京   東京都立多摩北部医療センター                     ○           1001
東京   江東病院                               ○           535
東京   総合東京病院                             ○           970
東京   東大和病院                              ○           1013
東京   東京都立東部地域病院                         ○           148
東京   江戸川病院                              ○           1025
東京   練馬総合病院                             ○            73
東京   大田病院                               ○           498
東京   町田市民病院                             ○           648
東京   公立阿伎留医療センター                        ○           977
東京   東京臨海病院                             ○           641
東京   玉川病院                               ○           703
東京   地域医療機能推進機構 東京高輪病院                  ○           686
東京   永寿総合病院                             ○           361
東京   東京品川病院                             ○           1023
東京   地域医療機能推進機構 東京蒲田医療センター              ○           129
東京   東京共済病院                             ○           880
東京   公立福生病院                             ○           993
東京   稲城市立病院                             ○           469
東京   日野市立病院                             ○           460
東京   東京北医療センター                          ○           786
東京   荻窪病院                               ○           986
東京   九段坂病院                              ○           906
東京   東京西徳洲会病院                           ○           598
東京   練馬光が丘病院                            ○           866
       2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                     ﾏｯﾁﾝｸﾞ        受付
                        病院名
府県                                      参加           番号
神奈川   横浜労災病院                             ○           177
神奈川   けいゆう病院                             ○           968
神奈川   国立病院機構 横浜医療センター                    ○            8
神奈川   横浜市立市民病院                           ○           1000
神奈川   国際親善総合病院                           ○           366
神奈川   済生会横浜市南部病院                         ○           299
神奈川   横浜南共済病院                            ○           184
神奈川   横浜栄共済病院                            ○           153
神奈川   横浜市立みなと赤十字病院                       ○           213
神奈川   関東労災病院                             ○           607
神奈川   川崎市立川崎病院                           ○           885
神奈川   日本鋼管病院                             ○           328
神奈川   川崎協同病院                             ○           368
神奈川   川崎市立井田病院                           ○           270
神奈川   横須賀市立総合医療センター                      ○           461
神奈川   横須賀共済病院                            ○           426
神奈川   横須賀市立市民病院                          ○           322
神奈川   湘南鎌倉総合病院                           ○           456
神奈川   藤沢市民病院                             ○           505
神奈川   湘南藤沢徳洲会病院                          ○           350
神奈川   平塚市民病院                             ○           260
神奈川   平塚共済病院                             ○           928
神奈川   大和市立病院                             ○           694
神奈川   海老名総合病院                            ○           939
神奈川   国立病院機構 相模原病院                       ○            21
神奈川   小田原市立病院                            ○           765
神奈川   厚木市立病院                             ○           827
神奈川   横浜旭中央総合病院                          ○           622
神奈川   相模原協同病院                            ○            83
神奈川   戸塚共立第1病院                           ○           1029
神奈川   湘南東部総合病院                           ○           170
神奈川   川崎幸病院                              ○           347
神奈川   茅ヶ崎市立病院                            ○           540
神奈川   藤沢湘南台病院                            ○           467
神奈川   伊勢原協同病院                            ○           958
神奈川   菊名記念病院                             ○           391
神奈川   東戸塚記念病院                            ○           432
       2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                     ﾏｯﾁﾝｸﾞ        受付
                       病院名
府県                                      参加           番号
神奈川   東名厚木病院                             ○           552
神奈川   大船中央病院                             ○           152
神奈川   神奈川県立足柄上病院                         ○           285
神奈川   地域医療機能推進機構 横浜中央病院                  ○           964
神奈川   虎の門病院分院                            ○           915
神奈川   汐田総合病院                             ○           536
神奈川   聖隷横浜病院                             ○            14
神奈川   秦野赤十字病院                            ○           683
神奈川   済生会横浜市東部病院                         ○           1014
神奈川   川崎市立多摩病院                           ○           471
神奈川   医療法人徳洲会 湘南厚木病院                     ○           752
神奈川   山近記念総合病院                           ○           760
神奈川   新百合ヶ丘総合病院                          ○           111
山梨    山梨県立中央病院                           ○            74
山梨    甲府共立病院                             ○           1015
山梨    市立甲府病院                             ○           684
山梨    山梨赤十字病院                            ○           1003
新潟    新潟県立がんセンター新潟病院                     ○           247
新潟    新潟市民病院                             ○           271
新潟    立川綜合病院                             ○           376
新潟    長岡赤十字病院                            ○           338
新潟    新潟県立新発田病院                          ○           250
新潟    新潟県立中央病院                           ○           985
新潟    長岡中央綜合病院                           ○           433
新潟    済生会新潟病院                            ○           504
新潟    下越病院                               ○           231
新潟    柏崎総合医療センター                         ○           663
新潟    村上総合病院                             ○           459
新潟    新潟南病院                              ○           886
新潟    新潟医療センター                           ○           721
新潟    国立病院機構 西新潟中央病院                     ○           934
新潟    信楽園病院                              ○           774
新潟    済生会新潟県央基幹病院                        ○           978
新潟    木戸病院                               ○           446
新潟    新潟県立十日町病院                          ○           389
新潟    上越総合病院                             ○           562
新潟    糸魚川総合病院                            ○           413
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                       病院名
府県                                     参加           番号
新潟   佐渡総合病院                             ○           777
新潟   魚沼基幹病院                             ○           696
長野   佐久総合病院 佐久医療センター                    ○           345
長野   国立病院機構 信州上田医療センター                  ○           53
長野   諏訪赤十字病院                            ○           311
長野   飯田市立病院                             ○           671
長野   国立病院機構 まつもと医療センター                  ○           638
長野   長野赤十字病院                            ○           933
長野   北信総合病院                             ○           766
長野   相澤病院                               ○           672
長野   浅間南麓こもろ医療センター                      ○           581
長野   南長野医療センター篠ノ井総合病院                   ○           871
長野   長野中央病院                             ○           583
長野   松本協立病院                             ○           563
長野   諏訪中央病院                             ○           790
長野   長野松代総合病院                           ○           497
長野   北アルプス医療センターあづみ病院                   ○           318
長野   昭和伊南総合病院                           ○           128
長野   長野市民病院                             ○           687
長野   安曇野赤十字病院                           ○           348
長野   佐久市立国保 浅間総合病院                      ○           574
長野   岡谷市民病院                             ○           700
長野   松本市立病院                             ○           547
長野   伊那中央病院                             ○           50
長野   市立大町総合病院                           ○           763
長野   長野県立信州医療センター                       ○           962
長野   丸の内病院                              ○           445
静岡   国立病院機構 静岡医療センター                    ○           610
静岡   富士市立中央病院                           ○           147
静岡   富士宮市立病院                            ○           546
静岡   沼津市立病院                             ○           130
静岡   静岡県立総合病院                           ○           217
静岡   静岡市立静岡病院                           ○           754
静岡   静岡赤十字病院                            ○           210
静岡   静岡済生会総合病院                          ○           817
静岡   島田市立総合医療センター                       ○           709
静岡   藤枝市立総合病院                           ○           79
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                        病院名
府県                                     参加           番号
静岡   焼津市立総合病院                           ○           527
静岡   中東遠総合医療センター                        ○           219
静岡   磐田市立総合病院                           ○           81
静岡   浜松労災病院                             ○           450
静岡   浜松医療センター                           ○           110
静岡   聖隷浜松病院                             ○           405
静岡   聖隷三方原病院                            ○           387
静岡   静岡市立清水病院                           ○           814
静岡   遠州病院                               ○           10
静岡   伊東市民病院                             ○           133
静岡   浜松赤十字病院                            ○           326
愛知   国立病院機構 名古屋医療センター                   ○           530
愛知   中部労災病院                             ○           797
愛知   日本赤十字社愛知医療センター 名古屋第一病院             ○           222
愛知   日本赤十字社愛知医療センター 名古屋第二病院             ○           314
愛知   名城病院                               ○           323
愛知   名鉄病院                               ○           645
愛知   名古屋掖済会病院                           ○           668
愛知   地域医療機能推進機構 中京病院                    ○           276
愛知   南生協病院                              ○           102
愛知   名古屋記念病院                            ○           121
愛知   協立総合病院                             ○           248
愛知   聖霊病院                               ○           821
愛知   海南病院                               ○           381
愛知   公立陶生病院                             ○           659
愛知   総合大雄会病院                            ○           394
愛知   小牧市民病院                             ○           336
愛知   名古屋徳洲会総合病院                         ○           332
愛知   春日井市民病院                            ○           274
愛知   知多半島総合医療センター                       ○           507
愛知   岡崎市民病院                             ○           650
愛知   安城更生病院                             ○           160
愛知   刈谷豊田総合病院                           ○           807
愛知   トヨタ記念病院                            ○           403
愛知   豊田厚生病院                             ○           453
愛知   豊川市民病院                             ○           33
愛知   豊橋市民病院                             ○           956
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                        病院名
府県                                     参加           番号
愛知   成田記念病院                             ○           245
愛知   江南厚生病院                             ○           699
愛知   西尾市民病院                             ○           216
愛知   蒲郡市民病院                             ○           140
愛知   一宮市立市民病院                           ○           913
愛知   稲沢市民病院                             ○           308
愛知   旭労災病院                              ○           798
愛知   公立西知多総合病院                          ○           158
愛知   大同病院                               ○           801
愛知   碧南市民病院                             ○           466
愛知   名古屋セントラル病院                         ○           845
愛知   知多半島りんくう病院                         ○           829
愛知   津島市民病院                             ○           310
愛知   総合犬山中央病院                           ○           193
愛知   八千代病院                              ○           750
愛知   知多厚生病院                             ○           900
愛知   渥美病院                               ○            38
愛知   総合上飯田第一病院                          ○           1018
愛知   稲沢厚生病院                             ○           556
愛知   国立長寿医療研究センター病院                     ○           649
愛知   国立病院機構 豊橋医療センター                    ○           169
愛知   一宮西病院                              ○           337
岐阜   岐阜県総合医療センター                        ○           400
岐阜   岐阜市民病院                             ○           281
岐阜   松波総合病院                             ○           901
岐阜   大垣市民病院                             ○           444
岐阜   岐阜県立多治見病院                          ○           411
岐阜   東濃中部医療センター 土岐市立総合病院                ○           893
岐阜   岐阜県立下呂温泉病院                         ○           715
岐阜   高山赤十字病院                            ○           264
岐阜   中津川市民病院                            ○            88
岐阜   東海中央病院                             ○           519
岐阜   岐阜赤十字病院                            ○           116
岐阜   飛騨医療センター 久美愛厚生病院                   ○           356
岐阜   中部国際医療センター                         ○            84
岐阜   中濃厚生病院                             ○           189
岐阜   羽島市民病院                             ○           660
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                       病院名
府県                                     参加           番号
岐阜   朝日大学病院                             ○           252
岐阜   多治見市民病院                            ○           230
岐阜   岐阜･西濃医療センター 西濃厚生病院                 ○           674
岐阜   国立病院機構 長良医療センター                    ○           63
三重   三重県立総合医療センター                       ○           256
三重   市立四日市病院                            ○           39
三重   鈴鹿中央総合病院                           ○           240
三重   国立病院機構 三重中央医療センター                  ○           370
三重   松阪市民病院                             ○           580
三重   松阪中央総合病院                           ○           298
三重   済生会松阪総合病院                          ○           987
三重   伊勢赤十字病院                            ○           496
三重   三重県立志摩病院                           ○           840
三重   鈴鹿回生病院                             ○           135
三重   地域医療機能推進機構 四日市羽津医療センター             ○           28
三重   桑名市総合医療センター                        ○           178
三重   三重北医療センター いなべ総合病院                  ○           31
三重   岡波総合病院                             ○           142
三重   伊賀市立上野総合市民病院                       ○           669
富山   黒部市民病院                             ○           604
富山   富山県立中央病院                           ○           770
富山   富山赤十字病院                            ○           487
富山   富山市立富山市民病院                         ○           875
富山   厚生連高岡病院                            ○           369
富山   市立砺波総合病院                           ○           123
富山   富山県済生会高岡病院                         ○           722
富山   金沢医科大学氷見市民病院                       ○           98
富山   南砺市民病院                             ○           457
富山   富山県済生会富山病院                         ○           399
富山   高岡市民病院                             ○           26
石川   国立病院機構 金沢医療センター                    ○           60
石川   石川県立中央病院                           ○           773
石川   城北病院                               ○           785
石川   恵寿総合病院                             ○           788
石川   公立松任石川中央病院                         ○           789
石川   小松市民病院                             ○           226
石川   地域医療機能推進機構 金沢病院                    ○           991
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                       病院名
府県                                     参加           番号
石川   浅ノ川総合病院                            ○           455
石川   公立能登総合病院                           ○           665
石川   金沢市立病院                             ○           717
石川   金沢赤十字病院                            ○           13
石川   加賀市医療センター                          ○           288
福井   福井県立病院                             ○           742
福井   福井県済生会病院                           ○           69
福井   福井赤十字病院                            ○           584
福井   市立敦賀病院                             ○           585
福井   杉田玄白記念公立小浜病院                       ○           640
福井   福井総合病院                             ○           739
滋賀   市立大津市民病院                           ○           897
滋賀   大津赤十字病院                            ○           108
滋賀   済生会滋賀県病院                           ○           431
滋賀   滋賀県立総合病院                           ○           869
滋賀   長浜赤十字病院                            ○           144
滋賀   市立長浜病院                             ○           728
滋賀   公立甲賀病院                             ○           114
滋賀   彦根市立病院                             ○           143
滋賀   高島市民病院                             ○           805
滋賀   近江八幡市立総合医療センター                     ○           390
滋賀   淡海医療センター                           ○           578
滋賀   国立病院機構 東近江総合医療センター                 ○            5
滋賀   地域医療機能推進機構 滋賀病院                    ○           22
京都   国立病院機構 舞鶴医療センター                    ○           544
京都   京都中部総合医療センター                       ○           36
京都   医仁会武田総合病院                          ○           620
京都   国立病院機構 京都医療センター                    ○           793
京都   京都市立病院                             ○           730
京都   京都第一赤十字病院                          ○           757
京都   京都第二赤十字病院                          ○           192
京都   地域医療機能推進機構 京都鞍馬口医療センター             ○           706
京都   洛和会音羽病院                            ○           291
京都   京都桂病院                              ○           910
京都   京都民医連中央病院                          ○           749
京都   医療法人徳洲会 宇治徳洲会病院                    ○           743
京都   医療法人財団康生会 武田病院                     ○           106
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                        病院名
府県                                     参加           番号
京都   京都岡本記念病院                           ○           416
京都   京都済生会病院                            ○           927
京都   洛和会丸太町病院                           ○           1012
京都   綾部市立病院                             ○           301
京都   市立福知山市民病院                          ○           385
京都   京都山城総合医療センター                       ○           410
京都   新京都南病院                             ○           567
大阪   市立池田病院                             ○           678
大阪   大阪府済生会吹田病院                         ○           418
大阪   市立豊中病院                             ○           859
大阪   箕面市立病院                             ○           218
大阪   高槻赤十字病院                            ○           151
大阪   高槻病院                               ○           767
大阪   市立ひらかた病院                           ○           388
大阪   地域医療機能推進機構 星ヶ丘医療センター               ○           643
大阪   松下記念病院                             ○           608
大阪   八尾徳洲会総合病院                          ○           1008
大阪   若草第一病院                             ○           383
大阪   国立病院機構 大阪南医療センター                   ○           849
大阪   大阪労災病院                             ○           911
大阪   堺市立総合医療センター                        ○           666
大阪   耳原総合病院                             ○           150
大阪   市立岸和田市民病院                          ○           816
大阪   りんくう総合医療センター                       ○           435
大阪   和泉市立総合医療センター                       ○           493
大阪   岸和田徳洲会病院                           ○           812
大阪   国立病院機構 大阪医療センター                    ○           458
大阪   大阪急性期・総合医療センター                     ○           443
大阪   大阪市立総合医療センター                       ○           478
大阪   大阪鉄道病院                             ○           262
大阪   大阪赤十字病院                            ○           769
大阪   大阪府済生会中津病院                         ○           691
大阪   地域医療機能推進機構 大阪病院                    ○           1002
大阪   大手前病院                              ○           441
大阪   日本生命病院                             ○           858
大阪   医学研究所北野病院                          ○           619
大阪   大阪警察病院                             ○           409
      2025年度マッチング参加申込 一般病院一覧 （本日現在）         901 件

都道                                    ﾏｯﾁﾝｸﾞ        受付
                       病院名
府県                                     参加           番号
大阪   住友病院                               ○           870
大阪   関西電力病院                             ○           639
大阪   淀川キリスト教病院                          ○           32
大阪   千船病院                               ○           259
大阪   大阪府済生会泉尾病院                         ○           282
大阪   河内総合病院                             ○           215
大阪   多根総合病院                             ○           524
大阪   八尾市立病院                             ○           40
大阪   泉大津急性期メディカルセンター                    ○           945
大阪   ベルランド総合病院                          ○           673
大阪   北摂総合病院                             ○           605
大阪   阪南中央病院                             ○           612
大阪   市立吹田市民病院                           ○           833
大阪   石切生喜病院                             ○            4
大阪   東住吉森本病院                            ○           675
大阪   野崎徳洲会病院                            ○           520
大阪   大阪府済生会富田林病院                        ○           221
大阪   松原徳洲会病院                            ○           473
大阪   市立貝塚病院                             ○           887
大阪   城山病院                               ○           465
大阪   浅香山病院                              ○           734
大阪   馬場記念病院                             ○           780
大阪   PL病院                               ○           93
大阪   大阪府済生会野江病院                         ○           124
